index,special token
1,2차 마법사 전쟁
2,2차 마법사전쟁
3,2차마법사 전쟁
4,2차마법사전쟁
5,3층 복도
6,3층 출입 금지
7,3층 출입 금지 복도
8,3층 출입금지
9,3층 출입금지 구역
10,3층 출입금지구역
11,3층복도
12,3층출입금지 복도
13,3층출입금지구역
14,50펜스
15,가고일
16,가짜 계단
17,가짜계단
18,갈레온
19,거대한 덩굴
20,거대한 덩쿨
21,거대한 체스판
22,거대한덩굴
23,거대한덩쿨
24,거대한체스판
25,거인
26,거인족
27,검은 호수
28,검은호수
29,고대 룬 문자
30,고대 룬 문자 연구
31,고대마법
32,고드릭 그리핀도르
33,고드릭그리핀도르
34,그린고트
35,고린고츠
36,고불린
37,고블린
38,고약하게 힘든 마법사 시험
39,공통 과목
40,공통과목
41,교장
42,교장선생님
43,교장실
44,그레인저
45,그리핀도르
46,그리핀도르 사감
47,그린고츠
48,그린델왈드
49,글래드래그스
50,글래드레그스
51,글래셔스
52,글레드래그스
53,글레드레그스
54,금지 구역
55,금지 숲
56,금지구역
57,금지된 구역
58,금지된 숩
59,금지된 숲
60,금지된구역
61,금지된숩
62,금지된숲
63,금지숲
64,금지의 숲
65,금지의숲
66,기숙사
67,기숙사 휴게실
68,기숙사 휴게실 벽난로
69,기숙사 휴게실벽난로
70,기숙사의 휴게실의 벽난로
71,기숙사휴게실
72,기운나게하는 마법약
73,기타 과목
74,기타과목
75,길더로이
76,길더로이 록하트
77,길더로이 록하트 교수님
78,나는 자동차
79,나는 차
80,나는자동차
81,나는차
82,날개 달린 열쇠
83,날개 달린 열쇠 방
84,날개 달린 열쇠방
85,날개 달린열쇠
86,날개달린 열쇠
87,날개달린 열쇠 방
88,날개달린 열쇠방
89,날개달린열쇠
90,날개달린열쇠방
91,날아다니는 자동차
92,날아다니는 차
93,내기니
94,내빌 롱버텀
95,내빌롱버텀
96,네빌 롱바텀
97,네빌 롱버텀
98,네빌롱바텀
99,네빌롱버텀
100,녹스
101,뉴트 스캐맨더
102,뉴트스캐맨더
103,늑대 인간
104,늑대인간
105,님부스 2000
106,님부스 2000 빗자루
107,님부스 20000
108,님부스2000
109,님부스2000 빗자루
110,더비시 앤 뱅지스
111,더비시 앤뱅지스
112,더비시 엔 뱅지스
113,더비시 엔 벵지스
114,더비시 엔뱅지스
115,더비시 엔벵지스
116,더비시앤 뱅지스
117,더비시앤뱅지스
118,더비시엔 뱅지스
119,더비시엔 벵지스
120,더비시엔뱅지스
121,더비시엔벵지스
122,더클리포스
123,덜로리스
124,덜로리스 엄브리지
125,덜로리스 엄브리지 교수님
126,덤블도어
127,덤블도어 교수님
128,덤블도어 군대
129,덤블도어군대
130,덤블도어의 군대
131,덤블도어의군대
132,데포디오
133,도깨비 반란
134,도깨비반란
135,도비
136,도서관
137,도서실 제한 구역
138,도서실 제한구역
139,도서실의 제한 구역
140,도서실의 제한구역
141,드라코니포스
142,드래고
143,드래곤
144,드래곤의 알
145,드래곤의알
146,드레곤
147,드레곤의 알
148,드레곤의알
149,디멘터
150,디미누엔도
151,디샌디움
152,디센디움
153,디펄소
154,디프리모
155,디핀도
156,딱총나무 지팡이
157,딱총나무지팡이
158,뚱뚱한 귀부인
159,뚱뚱한 귀부인 초상화
160,뚱뚱한귀부인
161,라피포스
162,래번클로
163,래번클로 사감
164,래번클로 탑 입구
165,레너라이트
166,레너바이트
167,레번클로
168,레번클로 기숙사의 사감
169,레시폴드
170,레파리파지
171,로웨나 래번클로
172,로웨나 레번클로
173,로위나 래번클로
174,로위나 레번클로
175,로위너 래번클로
176,로위너 레번클로
177,로위너래번클로
178,로코모토르
179,로코모토르 위블리
180,로코모토를 모티스
181,록하트
182,록하트 교수님
183,론
184,론 위즐리
